N;par;2
400;9
1960;46
3520;115
5080;225
6640;381
8200;572
9760;809
11320;1089
12880;1405
14440;1752
16000;2133
N;par;4
400;12
1960;48
3520;120
5080;243
6640;388
8200;580
9760;819
11320;1100
12880;1402
14440;1774
16000;2135
N;par;8
400;44
1960;68
3520;137
5080;260
6640;424
8200;609
9760;841
11320;1103
12880;1415
14440;1774
16000;2168
N;par;12
400;176
1960;194
3520;265
5080;391
6640;535
8200;739
9760;967
11320;1240
12880;1549
14440;1902
16000;2295
